Data;Ultimo;Abertura;Maxima;Minima;Var%
31.10.2024;5,7867;5,7619;5,7939;5,753;0,0041
30.10.2024;5,763;5,7606;5,7923;5,754;0,0005
29.10.2024;5,7604;5,7098;5,7663;5,697;0,0089
28.10.2024;5,7096;5,7072;5,7201;5,6846;0,0004
25.10.2024;5,7073;5,6658;5,7133;5,6613;0,0076
24.10.2024;5,6643;5,6905;5,7195;5,6602;-0,0042
23.10.2024;5,6884;5,6899;5,7317;5,6842;-0,0002
22.10.2024;5,6894;5,6938;5,7172;5,6738;-0,0008
21.10.2024;5,6939;5,6894;5,7345;5,6863;0,0005
18.10.2024;5,6912;5,6552;5,7026;5,6281;0,0065
17.10.2024;5,6546;5,6647;5,6892;5,6515;-0,0019
16.10.2024;5,6652;5,6502;5,7002;5,6292;0,0027
15.10.2024;5,6502;5,5947;5,6647;5,5787;0,0103
14.10.2024;5,5928;5,6115;5,6515;5,5637;-0,0035
11.10.2024;5,6126;5,5828;5,6531;5,5561;0,0055
10.10.2024;5,5821;5,5938;5,6045;5,566;-0,0021
09.10.2024;5,5941;5,5349;5,5987;5,5298;0,0107
08.10.2024;5,5349;5,4915;5,5388;5,4892;0,0082
07.10.2024;5,49;5,4551;5,492;5,4196;0,0063
04.10.2024;5,4555;5,4775;5,5189;5,4509;-0,0037
03.10.2024;5,4759;5,4414;5,5108;5,4384;0,0065
02.10.2024;5,4407;5,4361;5,4598;5,4026;0,0007
01.10.2024;5,4368;5,4497;5,4781;5,4286;-0,0021
30.09.2024;5,4482;5,4341;5,4731;5,402;0,0028
27.09.2024;5,4329;5,4394;5,4574;5,4258;-0,0008
26.09.2024;5,4375;5,4744;5,4779;5,4039;-0,0073
25.09.2024;5,4774;5,4547;5,4969;5,4387;0,0042
24.09.2024;5,4547;5,5369;5,5417;5,4454;-0,0148
23.09.2024;5,5364;5,5098;5,5999;5,5098;0,0047
20.09.2024;5,5103;5,426;5,5244;5,4148;0,0155
19.09.2024;5,4263;5,4612;5,466;5,3933;-0,0064
18.09.2024;5,4612;5,483;5,4956;5,4088;-0,0039
17.09.2024;5,4825;5,5103;5,5154;5,4778;-0,005
16.09.2024;5,51;5,5667;5,5813;5,4965;-0,0097
13.09.2024;5,564;5,6272;5,6303;5,5425;-0,0113
12.09.2024;5,6276;5,6628;5,6763;5,6134;-0,006
11.09.2024;5,6618;5,6603;5,6738;5,6057;0,0006
10.09.2024;5,6582;5,5833;5,6718;5,5672;0,0133
09.09.2024;5,5842;5,5988;5,6405;5,574;-0,0026
06.09.2024;5,599;5,5744;5,6017;5,5276;0,0045
05.09.2024;5,5741;5,6399;5,6484;5,5689;-0,0117
04.09.2024;5,6399;5,6454;5,6614;5,6145;-0,001
03.09.2024;5,6454;5,6162;5,6529;5,5742;0,0049
02.09.2024;5,6177;5,6455;5,6601;5,6028;0,0013
30.08.2024;5,6103;5,6276;5,6931;5,5736;-0,0029
29.08.2024;5,6266;5,5652;5,6626;5,5518;0,0112
28.08.2024;5,5644;5,5101;5,5701;5,5051;0,0102
27.08.2024;5,5082;5,4959;5,5191;5,4753;0,0024
26.08.2024;5,495;5,4857;5,5133;5,4714;0,0016
23.08.2024;5,4863;5,5851;5,6053;5,473;-0,0174
22.08.2024;5,5834;5,4858;5,5956;5,4711;0,0178
21.08.2024;5,4858;5,4772;5,5103;5,457;0,0014
20.08.2024;5,478;5,4121;5,4925;5,4047;0,0122
19.08.2024;5,4121;5,4714;5,4733;5,3755;-0,0115
16.08.2024;5,4753;5,4827;5,4873;5,436;-0,0013
15.08.2024;5,4827;5,4739;5,4942;5,4491;0,0018
14.08.2024;5,473;5,4548;5,4874;5,4284;0,0035
13.08.2024;5,4538;5,4999;5,5028;5,4467;-0,0079
12.08.2024;5,4974;5,5064;5,523;5,4714;-0,0016
09.08.2024;5,5064;5,5488;5,5537;5,4907;-0,0077
08.08.2024;5,5493;5,6346;5,6548;5,5435;-0,0151
07.08.2024;5,6341;5,6622;5,6627;5,5966;-0,005
06.08.2024;5,6623;5,7239;5,7259;5,6303;-0,0107
05.08.2024;5,7238;5,7297;5,8648;5,712;-0,0006
02.08.2024;5,7273;5,7483;5,7938;5,6977;-0,0037
01.08.2024;5,7483;5,6507;5,7533;5,6322;0,0174
31.07.2024;5,65;5,6122;5,6841;5,6073;0,0068
30.07.2024;5,6121;5,616;5,6627;5,6098;-0,0007
29.07.2024;5,6159;5,6658;5,6688;5,612;-0,007
26.07.2024;5,6557;5,6447;5,6718;5,617;0,002
25.07.2024;5,6442;5,6536;5,6891;5,6179;-0,0017
24.07.2024;5,6536;5,5865;5,6617;5,5851;0,0124
23.07.2024;5,5846;5,5784;5,6067;5,5577;0,0012
22.07.2024;5,5779;5,5911;5,6096;5,5348;-0,0031
19.07.2024;5,5952;5,5473;5,6087;5,5205;0,0089
18.07.2024;5,546;5,4808;5,5898;5,4793;0,0117
17.07.2024;5,4821;5,4281;5,4875;5,4243;0,0099
16.07.2024;5,4286;5,4459;5,4623;5,4048;-0,003
15.07.2024;5,4448;5,4286;5,4767;5,4286;0,003
12.07.2024;5,4285;5,4398;5,4652;5,414;-0,0018
11.07.2024;5,4381;5,4143;5,453;5,3696;0,0044
10.07.2024;5,4144;5,4207;5,426;5,3708;-0,0014
09.07.2024;5,4222;5,4695;5,4773;5,4098;-0,0087
08.07.2024;5,4699;5,4594;5,4942;5,4555;0,002
05.07.2024;5,4592;5,4903;5,5338;5,4553;-0,0054
04.07.2024;5,4887;5,557;5,5593;5,4643;-0,0122
03.07.2024;5,5563;5,6779;5,6797;5,5396;-0,0214
02.07.2024;5,6777;5,6608;5,7009;5,6274;0,0031
01.07.2024;5,6603;5,5911;5,6638;5,566;0,0121
28.06.2024;5,5925;5,5019;5,599;5,4835;0,0165
27.06.2024;5,5019;5,519;5,5384;5,4825;-0,0032
26.06.2024;5,5194;5,4506;5,526;5,4499;0,0126
25.06.2024;5,4509;5,3935;5,4562;5,3889;0,0108
